Simulacion_ID,Precio_Final
1,132.8870
2,90.4749
3,97.3862
4,124.2104
5,114.8986
6,96.7730
7,101.8194
8,93.6159
9,95.0205
10,127.3487
11,158.4770
12,122.6499
13,88.4434
14,113.7397
15,118.0409
16,102.1073
17,97.7381
18,126.0048
19,100.1615
20,111.4241
21,113.0765
22,89.8349
23,120.4477
24,110.0580
25,107.7831
26,118.9848
27,88.3631
28,101.2623
29,150.8817
30,96.6664
31,102.7272
32,106.7298
33,112.6568
34,79.4185
35,109.9948
36,83.6555
37,126.1931
38,96.8201
39,101.6216
40,117.9149
41,75.2690
42,91.9646
43,105.0090
44,104.1756
45,107.0852
46,97.9911
47,99.7949
48,101.7930
49,135.1165
50,102.6703
51,81.7760
52,108.3100
53,122.4930
54,115.4559
55,112.3040
56,144.1253
57,87.5704
58,113.6323
59,113.9251
60,107.5447
61,130.5044
62,112.5552
63,126.9947
64,103.7195
65,109.8573
66,121.4625
67,121.2567
68,96.4496
69,91.5840
70,111.2425
71,103.7825
72,150.2798
73,90.0400
74,117.3515
75,157.8046
76,112.4549
77,101.5751
78,96.5063
79,141.4886
80,138.9336
81,117.5901
82,84.6106
83,104.0988
84,111.6181
85,123.6362
86,107.7104
87,131.6756
88,82.5376
89,114.4532
90,124.5114
91,126.9126
92,119.2384
93,153.7699
94,81.5716
95,151.5211
96,103.4704
97,94.4601
98,90.4780
99,98.4692
100,106.1699
101,99.6337
102,109.4683
103,117.1011
104,107.3059
105,132.0801
106,96.4016
107,107.1319
108,81.4965
109,110.0726
110,102.2912
111,117.8996
112,116.1385
113,107.7400
114,115.1980
115,106.9670
116,105.9589
117,135.8364
118,96.6336
119,72.7234
120,105.5087
121,126.7666
122,126.1169
123,121.2008
124,107.2961
125,109.2329
126,100.0790
127,161.5634
128,126.6510
129,165.2670
130,94.3686
131,106.4932
132,136.5292
133,118.0533
134,107.0959
135,93.3579
136,96.7702
137,95.0320
138,127.2940
139,97.4194
140,118.8010
141,137.9633
142,97.6955
143,108.8645
144,110.1239
145,89.7667
146,125.9506
147,108.6914
148,103.7207
149,111.9232
150,117.0659
151,109.3223
152,88.0159
153,101.2780
154,146.5520
155,127.4914
156,103.5120
157,112.1365
158,110.5118
159,133.0821
